date,coin,long_notional_usd,short_notional_usd,long_share_pct,longs,shorts,accounts,top_long_notional_usd,top_short_notional_usd,source
2026-09-03,APE,0,187303,0,0,4,300,0,144915,bykaranteli-hl-scan
2026-09-03,APEX,0,126432,0,0,3,300,0,66974,bykaranteli-hl-scan
2026-09-03,APT,99484,230511,30.15,2,3,300,99475,203520,bykaranteli-hl-scan
2026-09-03,AR,0,149478,0,0,2,300,0,149401,bykaranteli-hl-scan
2026-09-03,ARB,3,2891348,0,1,5,300,3,1663846,bykaranteli-hl-scan
2026-09-03,ASTER,462050,2390713,16.2,1,8,300,462050,1910287,bykaranteli-hl-scan
2026-09-03,ATOM,67390,548341,10.94,2,3,300,48334,488920,bykaranteli-hl-scan
2026-09-03,AVAX,672558,1400458,32.44,2,10,300,520796,622361,bykaranteli-hl-scan
2026-09-03,AVNT,30630,70992,30.14,1,2,300,30630,69737,bykaranteli-hl-scan
2026-09-03,AZTEC,0,86,0,0,1,300,0,86,bykaranteli-hl-scan
2026-09-03,BABY,0,3854,0,0,1,300,0,3854,bykaranteli-hl-scan
2026-09-03,BANANA,0,64,0,0,2,300,0,43,bykaranteli-hl-scan
2026-09-03,BCH,578866,518090,52.77,1,4,300,578866,276918,bykaranteli-hl-scan
2026-09-03,BERA,23831,389556,5.76,3,2,300,23453,389534,bykaranteli-hl-scan
2026-09-03,BIO,0,2989,0,0,3,300,0,2460,bykaranteli-hl-scan
2026-09-03,BLUR,205282,255811,44.52,1,3,300,205282,254455,bykaranteli-hl-scan
2026-09-03,BNB,2946581,3269865,47.4,3,9,300,1433354,1161030,bykaranteli-hl-scan
2026-09-03,BOME,0,4921,0,0,3,300,0,3970,bykaranteli-hl-scan
2026-09-03,BRETT,50,0,100,1,0,300,50,0,bykaranteli-hl-scan
2026-09-03,BSV,0,39,0,0,1,300,0,39,bykaranteli-hl-scan
2026-09-03,BTC,370919094,486011498,43.28,20,20,300,120861138,144786899,bykaranteli-hl-scan
2026-09-03,CAKE,102,2608,3.76,1,1,300,102,2608,bykaranteli-hl-scan
2026-09-03,CASHCAT,1091111,7864389,12.18,3,5,300,615024,4841956,bykaranteli-hl-scan
2026-09-03,CC,781,304498,0.26,1,2,300,781,242080,bykaranteli-hl-scan
2026-09-03,CFX,0,28370,0,0,2,300,0,28324,bykaranteli-hl-scan
2026-09-03,CHIP,6,20661,0.03,1,3,300,6,17542,bykaranteli-hl-scan
2026-09-03,COMP,0,28934,0,0,2,300,0,28902,bykaranteli-hl-scan
2026-09-03,CRV,590587,1371230,30.1,1,6,300,590587,412579,bykaranteli-hl-scan
2026-09-03,DASH,0,15046,0,0,3,300,0,7182,bykaranteli-hl-scan
2026-09-03,DOGE,1215822,12774146,8.69,3,11,300,688430,3901727,bykaranteli-hl-scan
2026-09-03,DOT,130569,759640,14.67,4,2,300,101844,637439,bykaranteli-hl-scan
2026-09-03,DYDX,508004,839,99.84,2,1,300,505410,839,bykaranteli-hl-scan
2026-09-03,DYM,0,47958,0,0,1,300,0,47958,bykaranteli-hl-scan
2026-09-03,EIGEN,0,433781,0,0,3,300,0,425207,bykaranteli-hl-scan
2026-09-03,ENA,5806681,7306383,44.28,3,13,300,4499700,1924202,bykaranteli-hl-scan
2026-09-03,ENS,0,40347,0,0,2,300,0,40147,bykaranteli-hl-scan
2026-09-03,ETC,181632,3514,98.1,1,1,300,181632,3514,bykaranteli-hl-scan
2026-09-03,ETH,356289682,512555779,41.01,16,20,300,107812866,149646091,bykaranteli-hl-scan
2026-09-03,ETHFI,470759,637064,42.49,3,4,300,468929,298675,bykaranteli-hl-scan
2026-09-03,FARTCOIN,498374,9018453,5.24,7,8,300,281823,3742564,bykaranteli-hl-scan
2026-09-03,FET,66966,233741,22.27,2,2,300,65343,145588,bykaranteli-hl-scan
2026-09-03,FIL,27561,493555,5.29,3,3,300,15697,362048,bykaranteli-hl-scan
2026-09-03,FOGO,0,591,0,0,2,300,0,573,bykaranteli-hl-scan
2026-09-03,GALA,1002,798,55.67,1,1,300,1002,798,bykaranteli-hl-scan
2026-09-03,GMT,570,0,100,1,0,300,570,0,bykaranteli-hl-scan
2026-09-03,GMX,0,2397,0,0,1,300,0,2397,bykaranteli-hl-scan
2026-09-03,GOAT,3,4781,0.07,1,1,300,3,4781,bykaranteli-hl-scan
2026-09-03,GRAM,1213,1622904,0.07,1,6,300,1213,875061,bykaranteli-hl-scan
2026-09-03,GRASS,546662,893336,37.96,2,8,300,545333,324593,bykaranteli-hl-scan
2026-09-03,GRIFFAIN,0,42,0,0,1,300,0,42,bykaranteli-hl-scan
2026-09-03,HBAR,0,497710,0,0,3,300,0,266408,bykaranteli-hl-scan
2026-09-03,HEMI,0,864,0,0,2,300,0,521,bykaranteli-hl-scan
2026-09-03,HYPE,292288211,405880488,41.86,19,29,300,112822490,76868042,bykaranteli-hl-scan
2026-09-03,HYPER,0,237,0,0,1,300,0,237,bykaranteli-hl-scan
2026-09-03,ICP,91963,202878,31.19,1,2,300,91963,202878,bykaranteli-hl-scan
2026-09-03,IMX,0,22359,0,0,2,300,0,21840,bykaranteli-hl-scan
2026-09-03,INIT,0,5948,0,0,1,300,0,5948,bykaranteli-hl-scan
2026-09-03,INJ,0,285262,0,0,4,300,0,255409,bykaranteli-hl-scan
2026-09-03,IO,1014,190167,0.53,1,2,300,1014,188064,bykaranteli-hl-scan
2026-09-03,IOTA,9725,162134,5.66,1,1,300,9725,162134,bykaranteli-hl-scan
2026-09-03,JTO,339988,246978,57.92,1,3,300,339988,135361,bykaranteli-hl-scan
2026-09-03,JUP,4223,1088121,0.39,1,3,300,4223,1084450,bykaranteli-hl-scan
2026-09-03,KAITO,18,5234,0.35,2,3,300,11,4889,bykaranteli-hl-scan
2026-09-03,KAS,0,5146,0,0,1,300,0,5146,bykaranteli-hl-scan
2026-09-03,LAYER,12,3416,0.34,2,2,300,11,3354,bykaranteli-hl-scan
2026-09-03,LDO,1727061,1145934,60.11,3,3,300,1080370,618067,bykaranteli-hl-scan
2026-09-03,LINEA,0,1357,0,0,2,300,0,1037,bykaranteli-hl-scan
2026-09-03,LINK,2263071,13659091,14.21,1,11,300,2263071,4855761,bykaranteli-hl-scan
2026-09-03,LIT,25333747,15805351,61.58,6,11,300,19248496,7823870,bykaranteli-hl-scan
2026-09-03,LTC,131464,2352141,5.29,2,7,300,130793,1149280,bykaranteli-hl-scan
2026-09-03,ME,0,0,100,1,0,300,0,0,bykaranteli-hl-scan
2026-09-03,MEGA,0,752,0,0,2,300,0,736,bykaranteli-hl-scan
2026-09-03,MELANIA,340009,359254,48.62,3,2,300,196847,358662,bykaranteli-hl-scan
2026-09-03,MEME,0,117306,0,0,1,300,0,117306,bykaranteli-hl-scan
2026-09-03,MERL,236,0,100,1,0,300,236,0,bykaranteli-hl-scan
2026-09-03,MET,0,440,0,0,3,300,0,346,bykaranteli-hl-scan
2026-09-03,MINA,55353,554018,9.08,1,2,300,55353,487009,bykaranteli-hl-scan
2026-09-03,MNT,14542,156122,8.52,1,3,300,14542,155996,bykaranteli-hl-scan
2026-09-03,MON,0,2476590,0,0,6,300,0,1526848,bykaranteli-hl-scan
2026-09-03,MOODENG,668,70211,0.94,2,2,300,659,70154,bykaranteli-hl-scan
2026-09-03,MORPHO,467,1066984,0.04,1,4,300,467,496672,bykaranteli-hl-scan
2026-09-03,MOVE,0,279,0,0,2,300,0,240,bykaranteli-hl-scan
2026-09-03,NEAR,1408432,10631248,11.7,5,13,300,539187,3386593,bykaranteli-hl-scan
2026-09-03,NEO,0,12812,0,0,2,300,0,12789,bykaranteli-hl-scan
2026-09-03,NIL,0,155,0,0,1,300,0,155,bykaranteli-hl-scan
2026-09-03,NXPC,0,606,0,0,1,300,0,606,bykaranteli-hl-scan
2026-09-03,ONDO,1882830,2818883,40.05,3,7,300,911081,1384203,bykaranteli-hl-scan
2026-09-03,OP,18303,714084,2.5,2,4,300,16620,388162,bykaranteli-hl-scan
2026-09-03,ORDI,2065,0,100,1,0,300,2065,0,bykaranteli-hl-scan
2026-09-03,PAXG,1888644,1096082,63.28,4,3,300,1056679,708353,bykaranteli-hl-scan
2026-09-03,PENDLE,1077272,1204462,47.21,2,4,300,1077220,914682,bykaranteli-hl-scan
2026-09-03,PENGU,1071,1620930,0.07,1,5,300,1071,1135251,bykaranteli-hl-scan
2026-09-03,PEOPLE,0,1762,0,0,1,300,0,1762,bykaranteli-hl-scan
2026-09-03,PNUT,21715,270,98.77,2,2,300,20864,268,bykaranteli-hl-scan
2026-09-03,POL,1011140,66345,93.84,2,2,300,962557,50018,bykaranteli-hl-scan
2026-09-03,POLYX,2217,0,100,1,0,300,2217,0,bykaranteli-hl-scan
2026-09-03,PONS,656817,1163390,36.08,2,5,300,656238,406503,bykaranteli-hl-scan
2026-09-03,POPCAT,0,381367,0,0,5,300,0,377525,bykaranteli-hl-scan
2026-09-03,PROVE,0,46,0,0,1,300,0,46,bykaranteli-hl-scan
2026-09-03,PUMP,2934416,37550393,7.25,5,14,300,1491182,15201907,bykaranteli-hl-scan
2026-09-03,PURR,2697993,41790,98.47,4,2,300,1075000,38565,bykaranteli-hl-scan
2026-09-03,PYTH,3142,350750,0.89,1,2,300,3142,350423,bykaranteli-hl-scan
2026-09-03,RENDER,0,114145,0,0,3,300,0,100957,bykaranteli-hl-scan
2026-09-03,RESOLV,170,591,22.3,1,2,300,170,591,bykaranteli-hl-scan
2026-09-03,REZ,987,67,93.6,1,1,300,987,67,bykaranteli-hl-scan
2026-09-03,RSR,0,54,0,0,1,300,0,54,bykaranteli-hl-scan
2026-09-03,RUNE,0,103115,0,0,3,300,0,72266,bykaranteli-hl-scan
2026-09-03,S,30794,71041,30.24,1,1,300,30794,71041,bykaranteli-hl-scan
2026-09-03,SAGA,0,1653,0,0,2,300,0,1631,bykaranteli-hl-scan
2026-09-03,SAND,0,3355,0,0,2,300,0,2701,bykaranteli-hl-scan
2026-09-03,SEI,56205,243504,18.75,4,3,300,33860,236467,bykaranteli-hl-scan
2026-09-03,SKR,1165,2047,36.27,2,1,300,777,2047,bykaranteli-hl-scan
2026-09-03,SKY,0,137249,0,0,3,300,0,132726,bykaranteli-hl-scan
2026-09-03,SNX,15607,0,100,1,0,300,15607,0,bykaranteli-hl-scan
