date,currency,dvol,source
2021-10-01,ETH,96.12,bykaranteli.com
2021-10-02,BTC,83.97,bykaranteli.com
2021-10-02,ETH,94.17,bykaranteli.com
2021-10-03,BTC,85.56,bykaranteli.com
2021-10-03,ETH,96.24,bykaranteli.com
2021-10-04,BTC,89.62,bykaranteli.com
2021-10-04,ETH,99.76,bykaranteli.com
2021-10-05,BTC,92.68,bykaranteli.com
2021-10-05,ETH,100.91,bykaranteli.com
2021-10-06,BTC,89.38,bykaranteli.com
2021-10-06,ETH,101.65,bykaranteli.com
2021-10-07,BTC,88.13,bykaranteli.com
2021-10-07,ETH,101.57,bykaranteli.com
2021-10-08,BTC,88.19,bykaranteli.com
2021-10-08,ETH,99.01,bykaranteli.com
2021-10-09,BTC,87.42,bykaranteli.com
2021-10-09,ETH,97.63,bykaranteli.com
2021-10-10,BTC,89.23,bykaranteli.com
2021-10-10,ETH,98.5,bykaranteli.com
2021-10-11,BTC,90.49,bykaranteli.com
2021-10-11,ETH,98.99,bykaranteli.com
2021-10-12,BTC,93.37,bykaranteli.com
2021-10-12,ETH,101.29,bykaranteli.com
2021-10-13,BTC,95,bykaranteli.com
2021-10-13,ETH,101.07,bykaranteli.com
2021-10-14,BTC,97.87,bykaranteli.com
2021-10-14,ETH,102.76,bykaranteli.com
2021-10-15,BTC,90.71,bykaranteli.com
2021-10-15,ETH,100.71,bykaranteli.com
2021-10-16,BTC,86.8,bykaranteli.com
2021-10-16,ETH,92.25,bykaranteli.com
2021-10-17,BTC,89.66,bykaranteli.com
2021-10-17,ETH,97.8,bykaranteli.com
2021-10-18,BTC,92.4,bykaranteli.com
2021-10-18,ETH,103.18,bykaranteli.com
2021-10-19,BTC,94.15,bykaranteli.com
2021-10-19,ETH,103.74,bykaranteli.com
2021-10-20,BTC,93.04,bykaranteli.com
2021-10-20,ETH,113.61,bykaranteli.com
2021-10-21,BTC,92.52,bykaranteli.com
2021-10-21,ETH,110.13,bykaranteli.com
2021-10-22,BTC,86.73,bykaranteli.com
2021-10-22,ETH,103.5,bykaranteli.com
2021-10-23,BTC,86.31,bykaranteli.com
2021-10-23,ETH,103.74,bykaranteli.com
2021-10-24,BTC,89.88,bykaranteli.com
2021-10-24,ETH,105.65,bykaranteli.com
2021-10-25,BTC,84.45,bykaranteli.com
2021-10-25,ETH,103.1,bykaranteli.com
2021-10-26,BTC,89.01,bykaranteli.com
2021-10-26,ETH,103.18,bykaranteli.com
2021-10-27,BTC,88.45,bykaranteli.com
2021-10-27,ETH,109.02,bykaranteli.com
2021-10-28,BTC,89.87,bykaranteli.com
2021-10-28,ETH,110.39,bykaranteli.com
2021-10-29,BTC,87.58,bykaranteli.com
2021-10-29,ETH,107.13,bykaranteli.com
2021-10-30,BTC,87.17,bykaranteli.com
2021-10-30,ETH,107.37,bykaranteli.com
2021-10-31,BTC,87.64,bykaranteli.com
2021-10-31,ETH,108.41,bykaranteli.com
2021-11-01,BTC,85.45,bykaranteli.com
2021-11-01,ETH,107.67,bykaranteli.com
2021-11-02,BTC,87.23,bykaranteli.com
2021-11-02,ETH,111.84,bykaranteli.com
2021-11-03,BTC,85.84,bykaranteli.com
2021-11-03,ETH,109.19,bykaranteli.com
2021-11-04,BTC,84.73,bykaranteli.com
2021-11-04,ETH,107.17,bykaranteli.com
2021-11-05,BTC,85.71,bykaranteli.com
2021-11-05,ETH,103.82,bykaranteli.com
2021-11-06,BTC,87.07,bykaranteli.com
2021-11-06,ETH,106.48,bykaranteli.com
2021-11-07,BTC,86.59,bykaranteli.com
2021-11-07,ETH,104.02,bykaranteli.com
2021-11-08,BTC,86.69,bykaranteli.com
2021-11-08,ETH,105.13,bykaranteli.com
2021-11-09,BTC,84.68,bykaranteli.com
2021-11-09,ETH,104.51,bykaranteli.com
2021-11-10,BTC,86.36,bykaranteli.com
2021-11-10,ETH,105.05,bykaranteli.com
2021-11-11,BTC,85.23,bykaranteli.com
2021-11-11,ETH,103.92,bykaranteli.com
2021-11-12,BTC,88.44,bykaranteli.com
2021-11-12,ETH,107.06,bykaranteli.com
2021-11-13,BTC,87.74,bykaranteli.com
2021-11-13,ETH,105.93,bykaranteli.com
2021-11-14,BTC,87.22,bykaranteli.com
2021-11-14,ETH,103.24,bykaranteli.com
2021-11-15,BTC,85.04,bykaranteli.com
2021-11-15,ETH,102.78,bykaranteli.com
2021-11-16,BTC,87.28,bykaranteli.com
2021-11-16,ETH,110.64,bykaranteli.com
2021-11-17,BTC,89.88,bykaranteli.com
2021-11-17,ETH,109.74,bykaranteli.com
2021-11-18,BTC,90.12,bykaranteli.com
2021-11-18,ETH,112.49,bykaranteli.com
2021-11-19,BTC,85.78,bykaranteli.com
2021-11-19,ETH,106.59,bykaranteli.com
2021-11-20,BTC,85.44,bykaranteli.com
2021-11-20,ETH,106.77,bykaranteli.com
2021-11-21,BTC,85.94,bykaranteli.com
2021-11-21,ETH,106.26,bykaranteli.com
2021-11-22,BTC,88.98,bykaranteli.com
2021-11-22,ETH,112.04,bykaranteli.com
2021-11-23,BTC,89.91,bykaranteli.com
2021-11-23,ETH,110.9,bykaranteli.com
2021-11-24,BTC,90.42,bykaranteli.com
2021-11-24,ETH,109.53,bykaranteli.com
2021-11-25,BTC,86.52,bykaranteli.com
2021-11-25,ETH,106.62,bykaranteli.com
2021-11-26,BTC,86.06,bykaranteli.com
2021-11-26,ETH,107.26,bykaranteli.com
2021-11-27,BTC,83.72,bykaranteli.com
2021-11-27,ETH,103.51,bykaranteli.com
2021-11-28,BTC,86.32,bykaranteli.com
2021-11-28,ETH,105.58,bykaranteli.com
2021-11-29,BTC,82.85,bykaranteli.com
2021-11-29,ETH,104.75,bykaranteli.com
2021-11-30,BTC,84.08,bykaranteli.com
2021-11-30,ETH,105.95,bykaranteli.com
2021-12-01,BTC,83.64,bykaranteli.com
2021-12-01,ETH,106.36,bykaranteli.com
2021-12-02,BTC,85.26,bykaranteli.com
2021-12-02,ETH,106.91,bykaranteli.com
2021-12-03,BTC,84.55,bykaranteli.com
2021-12-03,ETH,106.88,bykaranteli.com
2021-12-04,BTC,87.29,bykaranteli.com
2021-12-04,ETH,106.71,bykaranteli.com
2021-12-05,BTC,89.39,bykaranteli.com
2021-12-05,ETH,109.05,bykaranteli.com
2021-12-06,BTC,86.84,bykaranteli.com
2021-12-06,ETH,107.38,bykaranteli.com
2021-12-07,BTC,86,bykaranteli.com
2021-12-07,ETH,106.56,bykaranteli.com
2021-12-08,BTC,87.16,bykaranteli.com
2021-12-08,ETH,107.08,bykaranteli.com
2021-12-09,BTC,90.3,bykaranteli.com
2021-12-09,ETH,109.56,bykaranteli.com
2021-12-10,BTC,89.98,bykaranteli.com
2021-12-10,ETH,112.23,bykaranteli.com
2021-12-11,BTC,88.72,bykaranteli.com
2021-12-11,ETH,108.69,bykaranteli.com
2021-12-12,BTC,92.25,bykaranteli.com
2021-12-12,ETH,112.55,bykaranteli.com
2021-12-13,BTC,90.29,bykaranteli.com
2021-12-13,ETH,112.45,bykaranteli.com
2021-12-14,BTC,92.34,bykaranteli.com
2021-12-14,ETH,110.34,bykaranteli.com
2021-12-15,BTC,89.34,bykaranteli.com
2021-12-15,ETH,109.05,bykaranteli.com
2021-12-16,BTC,86.78,bykaranteli.com
2021-12-16,ETH,103.39,bykaranteli.com
2021-12-17,BTC,85.34,bykaranteli.com
2021-12-17,ETH,100.11,bykaranteli.com
2021-12-18,BTC,87.43,bykaranteli.com
2021-12-18,ETH,100.48,bykaranteli.com
2021-12-19,BTC,87.83,bykaranteli.com
2021-12-19,ETH,102.47,bykaranteli.com
2021-12-20,BTC,87.31,bykaranteli.com
2021-12-20,ETH,102.37,bykaranteli.com
2021-12-21,BTC,86.04,bykaranteli.com
2021-12-21,ETH,102.21,bykaranteli.com
2021-12-22,BTC,82.99,bykaranteli.com
2021-12-22,ETH,99.7,bykaranteli.com
2021-12-23,BTC,82.99,bykaranteli.com
2021-12-23,ETH,93.93,bykaranteli.com
2021-12-24,BTC,82.57,bykaranteli.com
2021-12-24,ETH,94.03,bykaranteli.com
2021-12-25,BTC,81.08,bykaranteli.com
2021-12-25,ETH,91.73,bykaranteli.com
2021-12-26,BTC,80.26,bykaranteli.com
2021-12-26,ETH,88.58,bykaranteli.com
2021-12-27,BTC,83.29,bykaranteli.com
2021-12-27,ETH,92.17,bykaranteli.com
2021-12-28,BTC,76.7,bykaranteli.com
2021-12-28,ETH,88.8,bykaranteli.com
2021-12-29,BTC,80.73,bykaranteli.com
2021-12-29,ETH,93.37,bykaranteli.com
2021-12-30,BTC,80.68,bykaranteli.com
2021-12-30,ETH,92.62,bykaranteli.com
2021-12-31,BTC,75.51,bykaranteli.com
2021-12-31,ETH,83.1,bykaranteli.com
2022-01-01,BTC,70.91,bykaranteli.com
2022-01-01,ETH,79.38,bykaranteli.com
2022-01-02,BTC,72.06,bykaranteli.com
2022-01-02,ETH,80.9,bykaranteli.com
2022-01-03,BTC,71.94,bykaranteli.com
2022-01-03,ETH,80.04,bykaranteli.com
2022-01-04,BTC,72.52,bykaranteli.com
2022-01-04,ETH,79.12,bykaranteli.com
2022-01-05,BTC,75.64,bykaranteli.com
2022-01-05,ETH,85.44,bykaranteli.com
2022-01-06,BTC,73.19,bykaranteli.com
2022-01-06,ETH,80.89,bykaranteli.com
2022-01-07,BTC,73.86,bykaranteli.com
2022-01-07,ETH,84.85,bykaranteli.com
2022-01-08,BTC,71.56,bykaranteli.com
