date,asset,ticker,issuer,net_inflow_usd,net_assets_usd,cum_inflow_usd,fee_pct,source
2026-08-10,BTC,BTCO,Invesco,0,335066848,152407760,0.25,bykaranteli.com
2026-08-10,BTC,BTCW,WisdomTree,0,142477995,91849949,0.25,bykaranteli.com
2026-08-10,BTC,DEFI,Hashdex,0,11593664,1330320,0.9,bykaranteli.com
2026-08-10,ETH,ETH,Grayscale,8590800,1588775214,1812692019,0.15,bykaranteli.com
2026-08-10,ETH,ETHA,BlackRock,-23768097,5622852747,11625720152,0.25,bykaranteli.com
2026-08-10,ETH,ETHB,BlackRock,3859289,579858190,560770806,0.25,bykaranteli.com
2026-08-10,ETH,ETHE,Grayscale,0,1424660326,-5353277805,2.5,bykaranteli.com
2026-08-10,ETH,ETHV,VanEck,0,91117635,162651459,0.2,bykaranteli.com
2026-08-10,ETH,ETHW,Bitwise,0,199558701,384584637,0.2,bykaranteli.com
2026-08-10,BTC,EZBC,Franklin,-7384839,361857121,326207096,0.19,bykaranteli.com
2026-08-10,ETH,EZET,Franklin,0,38363193,65914410,0.19,bykaranteli.com
2026-08-10,BTC,FBTC,Fidelity,-40323849,10998870975,9995444606,0,bykaranteli.com
2026-08-10,ETH,FETH,Fidelity,-3269902,903894422,2121532672,0.25,bykaranteli.com
2026-08-10,BTC,GBTC,Grayscale,-52016265,8435556958,-27512592056,1.5,bykaranteli.com
2026-08-10,BTC,HODL,VanEck,0,1011233586,1092920775,0.25,bykaranteli.com
2026-08-10,BTC,IBIT,BlackRock,-53561200,47730267200,61121258624,0.25,bykaranteli.com
2026-08-10,BTC,MSBT,Morgan Stanley,0,419565464,429066947,0.14,bykaranteli.com
2026-08-10,ETH,MSSE,Morgan Stanley,0,21780423,21067551,0.14,bykaranteli.com
2026-08-10,ETH,QETH,Invesco,0,15925821,22100555,0.25,bykaranteli.com
2026-08-10,ETH,TETH,21Shares,0,15152212,16823118,0.21,bykaranteli.com
2026-08-07,BTC,ARKB,Ark & 21Shares,1936246,2225822404,1347655209,0.21,bykaranteli.com
2026-08-07,BTC,BITB,Bitwise,2112671,2407740283,2034987294,0.2,bykaranteli.com
2026-08-07,BTC,BRRR,Valkyrie,0,372985800,299315125,0.25,bykaranteli.com
2026-08-07,BTC,BTC,Grayscale,0,3832370004,2663353934,0.15,bykaranteli.com
2026-08-07,BTC,BTCO,Invesco,-19372153,339981283,152407760,0.25,bykaranteli.com
2026-08-07,BTC,BTCW,WisdomTree,0,144642420,91849949,0.25,bykaranteli.com
2026-08-07,BTC,DEFI,Hashdex,-2942040,11768160,1330320,0.9,bykaranteli.com
2026-08-07,ETH,ETH,Grayscale,0,1614635480,1804101219,0.15,bykaranteli.com
2026-08-07,ETH,ETHA,BlackRock,38147564,5767218145,11649488250,0.25,bykaranteli.com
2026-08-07,ETH,ETHB,BlackRock,0,588985418,556911517,0.25,bykaranteli.com
2026-08-07,ETH,ETHE,Grayscale,0,1456026227,-5353277805,2.5,bykaranteli.com
2026-08-07,ETH,ETHV,VanEck,0,93064921,162651459,0.2,bykaranteli.com
2026-08-07,ETH,ETHW,Bitwise,0,203817639,384584637,0.2,bykaranteli.com
2026-08-07,BTC,EZBC,Franklin,0,374850160,333591935,0.19,bykaranteli.com
2026-08-07,ETH,EZET,Franklin,0,39182459,65914410,0.19,bykaranteli.com
2026-08-07,BTC,FBTC,Fidelity,40954395,11211815329,10035768455,0,bykaranteli.com
2026-08-07,ETH,FETH,Fidelity,11453470,926776630,2124802575,0.25,bykaranteli.com
2026-08-07,BTC,GBTC,Grayscale,0,8613072521,-27460575791,1.5,bykaranteli.com
2026-08-07,BTC,HODL,VanEck,-10550192,1026579552,1092920775,0.25,bykaranteli.com
2026-08-07,BTC,IBIT,BlackRock,86706400,48510026400,61174819824,0.25,bykaranteli.com
2026-08-07,BTC,MSBT,Morgan Stanley,0,425773242,429066947,0.14,bykaranteli.com
2026-08-07,ETH,MSSE,Morgan Stanley,0,22243049,21067551,0.14,bykaranteli.com
2026-08-07,ETH,QETH,Invesco,0,16272945,22100555,0.25,bykaranteli.com
2026-08-07,ETH,TETH,21Shares,0,15475316,16823118,0.21,bykaranteli.com
2026-08-06,BTC,ARKB,Ark & 21Shares,0,2206678050,1345718963,0.21,bykaranteli.com
2026-08-06,BTC,BITB,Bitwise,1746933,2387009798,2032874623,0.2,bykaranteli.com
2026-08-06,BTC,BRRR,Valkyrie,-9073200,370095828,299315125,0.25,bykaranteli.com
2026-08-06,BTC,BTC,Grayscale,6833328,3801607005,2663353934,0.15,bykaranteli.com
2026-08-06,BTC,BTCO,Invesco,0,356451344,171779913,0.25,bykaranteli.com
2026-08-06,BTC,BTCW,WisdomTree,0,143521599,91849949,0.25,bykaranteli.com
2026-08-06,BTC,DEFI,Hashdex,0,14591440,4272360,0.9,bykaranteli.com
2026-08-06,ETH,ETH,Grayscale,4549575,1606742284,1804101219,0.15,bykaranteli.com
2026-08-06,ETH,ETHA,BlackRock,81137632,5703802910,11611340685,0.25,bykaranteli.com
2026-08-06,ETH,ETHB,BlackRock,1964360,586361508,556911517,0.25,bykaranteli.com
2026-08-06,ETH,ETHE,Grayscale,3074880,1449014138,-5353277805,2.5,bykaranteli.com
2026-08-06,ETH,ETHV,VanEck,0,92651757,162651459,0.2,bykaranteli.com
2026-08-06,ETH,ETHW,Bitwise,0,202920688,384584637,0.2,bykaranteli.com
2026-08-06,BTC,EZBC,Franklin,0,371944450,333591935,0.19,bykaranteli.com
2026-08-06,ETH,EZET,Franklin,0,39009560,65914410,0.19,bykaranteli.com
2026-08-06,BTC,FBTC,Fidelity,11203900,11078051468,9994814060,0,bykaranteli.com
2026-08-06,ETH,FETH,Fidelity,1424437,910690087,2113349104,0.25,bykaranteli.com
2026-08-06,BTC,GBTC,Grayscale,7480515,8544249220,-27460575791,1.5,bykaranteli.com
2026-08-06,BTC,HODL,VanEck,-32770782,1029093585,1103470967,0.25,bykaranteli.com
2026-08-06,BTC,IBIT,BlackRock,128325120,48049008000,61088113424,0.25,bykaranteli.com
2026-08-06,BTC,MSBT,Morgan Stanley,14942381,422445094,429066947,0.14,bykaranteli.com
