date,currency,instrument,expiry,strike,type,open_interest,mark_iv,underlying_usd
2026-08-18,BTC,BTC-25DEC26-76000-C,25DEC26,76000,call,462.2,37.84,65471.54
2026-08-18,BTC,BTC-25DEC26-76000-P,25DEC26,76000,put,142.1,37.84,65471.54
2026-08-18,BTC,BTC-25DEC26-78000-C,25DEC26,78000,call,863.5,37.8,65471.54
2026-08-18,BTC,BTC-25DEC26-78000-P,25DEC26,78000,put,234.7,37.8,65471.4
2026-08-18,BTC,BTC-25DEC26-80000-P,25DEC26,80000,put,951.8,37.93,65471.54
2026-08-18,BTC,BTC-25DEC26-80000-C,25DEC26,80000,call,8571.5,37.93,65471.54
2026-08-18,BTC,BTC-25DEC26-82000-C,25DEC26,82000,call,545,37.94,65471.4
2026-08-18,BTC,BTC-25DEC26-82000-P,25DEC26,82000,put,158.8,37.94,65471.4
2026-08-18,BTC,BTC-25DEC26-84000-P,25DEC26,84000,put,47.1,38.01,65471.54
2026-08-18,BTC,BTC-25DEC26-84000-C,25DEC26,84000,call,779.4,38.01,65471.54
2026-08-18,BTC,BTC-25DEC26-85000-P,25DEC26,85000,put,547.4,38.09,65471.54
2026-08-18,BTC,BTC-25DEC26-85000-C,25DEC26,85000,call,2290.9,38.09,65471.4
2026-08-18,BTC,BTC-25DEC26-86000-C,25DEC26,86000,call,322.2,38.16,65471.54
2026-08-18,BTC,BTC-25DEC26-86000-P,25DEC26,86000,put,23.4,38.16,65471.54
2026-08-18,BTC,BTC-25DEC26-88000-C,25DEC26,88000,call,2747.5,38.27,65471.54
2026-08-18,BTC,BTC-25DEC26-88000-P,25DEC26,88000,put,4.2,38.27,65471.54
2026-08-18,BTC,BTC-25DEC26-90000-P,25DEC26,90000,put,590.6,38.46,65471.4
2026-08-18,BTC,BTC-25DEC26-90000-C,25DEC26,90000,call,3337.4,38.46,65471.54
2026-08-18,BTC,BTC-25DEC26-92000-C,25DEC26,92000,call,261.6,38.82,65471.54
2026-08-18,BTC,BTC-25DEC26-92000-P,25DEC26,92000,put,4.6,38.82,65471.54
2026-08-18,BTC,BTC-25DEC26-94000-C,25DEC26,94000,call,120,38.92,65471.54
