date,symbol,us_close_usd,global_close_usd,premium_pct,source
2020-06-22,BTC,9690.74,9685.69,0.0521,bykaranteli.com
2020-06-22,ETH,243.23,243.13,0.0411,bykaranteli.com
2020-06-23,BTC,9623.56,9624.89,-0.0138,bykaranteli.com
2020-06-23,ETH,243.12,243.14,-0.0082,bykaranteli.com
2020-06-24,BTC,9285.91,9296.49,-0.1138,bykaranteli.com
2020-06-24,ETH,234.44,234.58,-0.0597,bykaranteli.com
2020-06-25,BTC,9243.51,9249.49,-0.0647,bykaranteli.com
2020-06-25,ETH,231.97,232.5,-0.228,bykaranteli.com
2020-06-26,BTC,9155.42,9162.21,-0.0741,bykaranteli.com
2020-06-26,ETH,229.44,229.64,-0.0871,bykaranteli.com
2020-06-27,BTC,9002.46,9012,-0.1059,bykaranteli.com
2020-06-27,ETH,220.76,220.94,-0.0815,bykaranteli.com
2020-06-28,BTC,9113.24,9116.35,-0.0341,bykaranteli.com
2020-06-28,ETH,224.76,224.93,-0.0756,bykaranteli.com
2020-06-29,BTC,9184.45,9192.56,-0.0882,bykaranteli.com
2020-06-29,ETH,227.81,227.93,-0.0526,bykaranteli.com
2020-06-30,BTC,9136.2,9138.55,-0.0257,bykaranteli.com
2020-06-30,ETH,225.48,225.6,-0.0532,bykaranteli.com
2020-07-01,BTC,9239.97,9232,0.0863,bykaranteli.com
2020-07-01,ETH,231.03,230.99,0.0173,bykaranteli.com
2020-07-02,BTC,9091.53,9086.54,0.0549,bykaranteli.com
2020-07-02,ETH,226.48,226.46,0.0088,bykaranteli.com
2020-07-03,BTC,9063.87,9058.26,0.0619,bykaranteli.com
2020-07-03,ETH,225.06,224.87,0.0845,bykaranteli.com
2020-07-04,BTC,9138.51,9135.46,0.0334,bykaranteli.com
2020-07-04,ETH,229.34,229.17,0.0742,bykaranteli.com
2020-07-05,BTC,9074.39,9069.41,0.0549,bykaranteli.com
2020-07-05,ETH,227.67,227.56,0.0483,bykaranteli.com
2020-07-06,BTC,9343.31,9344.2,-0.0095,bykaranteli.com
2020-07-06,ETH,241.65,241.6,0.0207,bykaranteli.com
2020-07-07,BTC,9253.94,9257.39,-0.0373,bykaranteli.com
2020-07-07,ETH,239.37,239.39,-0.0084,bykaranteli.com
2020-07-08,BTC,9435.28,9436.06,-0.0083,bykaranteli.com
2020-07-08,ETH,247.14,246.95,0.0769,bykaranteli.com
2020-07-09,BTC,9236.95,9232.43,0.049,bykaranteli.com
