report_date,market_code,market_name,open_interest,hedge_fund_long,hedge_fund_short,institutional_long,institutional_short,other_reportable_long,other_reportable_short,small_trader_long,small_trader_short,source
2024-12-24,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,216097,163936,204508,1072,2243,21411,5817,2492,358,bykaranteli.com
2024-12-17,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,42524,3653,26850,11452,854,3148,2267,1639,1327,bykaranteli.com
2024-12-17,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,61025,28881,47462,2249,213,6835,2417,6701,2681,bykaranteli.com
2024-12-17,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,22486,1709,8462,4058,216,367,6511,1026,428,bykaranteli.com
2024-12-17,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,200948,135580,184862,966,3173,23591,4580,3304,351,bykaranteli.com
2024-12-10,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,37588,4657,25643,10889,828,2254,1764,1627,1143,bykaranteli.com
2024-12-10,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,61688,32053,55705,2397,151,7073,1892,6970,1994,bykaranteli.com
2024-12-10,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,18762,1661,7998,3699,239,401,6047,958,407,bykaranteli.com
2024-12-10,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,166451,118442,138554,889,2675,21955,6072,3026,327,bykaranteli.com
2024-12-03,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,37021,4094,25749,11038,922,2584,1292,1600,1045,bykaranteli.com
2024-12-03,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,25030,8437,19618,2484,117,5939,1354,6567,1793,bykaranteli.com
2024-12-03,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,14798,1616,6903,3005,160,263,4533,981,355,bykaranteli.com
2024-12-03,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,88662,42916,80854,1135,2912,21590,3609,2489,373,bykaranteli.com
2024-11-26,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,40510,5300,24505,11119,960,1282,1517,1667,977,bykaranteli.com
2024-11-26,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,43039,17188,30699,2302,93,7753,1100,6466,2005,bykaranteli.com
2024-11-26,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,14110,1358,5905,2932,143,328,4546,915,401,bykaranteli.com
2024-11-26,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,138213,83114,95115,1091,2489,20443,4334,2447,249,bykaranteli.com
2024-11-19,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,41203,4914,25022,11393,947,1628,2595,1833,1043,bykaranteli.com
2024-11-19,133742,MICRO BITCOIN - CHICAGO MERCANTILE EXCHANGE,50686,29463,39400,2586,122,8450,1001,6938,1921,bykaranteli.com
2024-11-19,146021,ETHER CASH SETTLED - CHICAGO MERCANTILE EXCHANGE,11944,1687,4784,2645,192,434,3996,925,396,bykaranteli.com
2024-11-19,146022,MICRO ETHER  - CHICAGO MERCANTILE EXCHANGE,102858,54295,81273,699,2241,26056,2654,2520,268,bykaranteli.com
2024-11-12,133741,BITCOIN - CHICAGO MERCANTILE EXCHANGE,38531,4830,25189,11083,947,1579,1972,1604,957,bykaranteli.com
