date,asset,net_inflow_usd,net_assets_usd,cumulative_inflow_usd,value_traded_usd,source
2026-03-27,ETH,-48544487,11322466828,11522821490,1161434082,bykaranteli.com
2026-03-27,SOL,-7836913,809621150,985547292,45209480,bykaranteli.com
2026-03-26,BTC,-171215465,88355726427,56160439331,2493457147,bykaranteli.com
2026-03-26,ETH,-92544773,11701724312,11571365977,878488719,bykaranteli.com
2026-03-26,SOL,-1041039,849654261,993384205,23959170,bykaranteli.com
2026-03-25,BTC,7806865,91627874657,56331654796,2376719812,bykaranteli.com
2026-03-25,ETH,-8507409,12511071583,11663910750,942496422,bykaranteli.com
2026-03-25,SOL,0,910282676,994425244,37480910,bykaranteli.com
2026-03-24,BTC,-74527423,89744944960,56323847931,3029435222,bykaranteli.com
2026-03-24,ETH,-40800261,12221187376,11672418159,855908944,bykaranteli.com
2026-03-24,SOL,4640679,881044399,994425244,47147392,bykaranteli.com
2026-03-23,BTC,167229236,91708715363,56398375354,2978973536,bykaranteli.com
2026-03-23,ETH,-16184174,12505128939,11713218420,1143561802,bykaranteli.com
2026-03-23,SOL,0,903062961,989784566,83539400,bykaranteli.com
2026-03-20,BTC,-52109179,90301011296,56231146118,2677853509,bykaranteli.com
2026-03-20,ETH,-41971486,12328351936,11729402594,758718613,bykaranteli.com
2026-03-20,SOL,0,874607762,989784566,41949550,bykaranteli.com
2026-03-19,BTC,-90189633,90827462067,56283255297,3210192026,bykaranteli.com
2026-03-19,ETH,-136407626,12462896749,11771374080,1034903239,bykaranteli.com
2026-03-19,SOL,767015,876134368,989784566,27810028,bykaranteli.com
2026-03-18,BTC,-163521702,92067415409,56373444930,3461411067,bykaranteli.com
2026-03-18,ETH,-55702389,12865465399,11907781706,1176154753,bykaranteli.com
2026-03-18,SOL,-295727,884456241,989017551,38776352,bykaranteli.com
2026-03-17,BTC,199372737,96744280056,56536966632,2622424895,bykaranteli.com
2026-03-17,ETH,138250138,13749391285,11963484096,989660012,bykaranteli.com
2026-03-17,SOL,17810741,936947562,989313278,32266025,bykaranteli.com
2026-03-16,BTC,201622970,95771665283,56337593895,3675838734,bykaranteli.com
2026-03-16,ETH,35896259,13629753192,11825233957,1591918571,bykaranteli.com
2026-03-16,SOL,2821330,918518673,971502537,50923241,bykaranteli.com
2026-03-13,BTC,180333828,91825643473,56135970925,4933391364,bykaranteli.com
2026-03-13,ETH,26692608,12257486571,11789337698,1300615254,bykaranteli.com
