date,symbol,interval,rsi,close,source
2026-09-05,ANKRUSDT,15m,40.59,0.004143,bykaranteli.com
2026-09-05,ANKRUSDT,1M,39.93,0.004143,bykaranteli.com
2026-09-05,ANKRUSDT,1d,65.01,0.004143,bykaranteli.com
2026-09-05,ANKRUSDT,1h,46.13,0.004143,bykaranteli.com
2026-09-05,ANKRUSDT,1w,44.02,0.004143,bykaranteli.com
2026-09-05,ANKRUSDT,3d,58.82,0.004143,bykaranteli.com
2026-09-05,ANKRUSDT,4h,51.47,0.004143,bykaranteli.com
2026-09-05,ANTHROPICUSDT,12h,56.42,1936.02,bykaranteli.com
2026-09-05,ANTHROPICUSDT,15m,58.03,1936.02,bykaranteli.com
2026-09-05,ANTHROPICUSDT,1d,66.47,1936.02,bykaranteli.com
2026-09-05,ANTHROPICUSDT,1h,46.51,1936.02,bykaranteli.com
2026-09-05,ANTHROPICUSDT,3d,65.06,1936.02,bykaranteli.com
2026-09-05,ANTHROPICUSDT,4h,45.75,1936.02,bykaranteli.com
2026-09-05,APEUSDT,12h,51.56,0.139,bykaranteli.com
2026-09-05,APEUSDT,15m,49.81,0.139,bykaranteli.com
2026-09-05,APEUSDT,1M,33.74,0.139,bykaranteli.com
2026-09-05,APEUSDT,1d,51.94,0.139,bykaranteli.com
2026-09-05,APEUSDT,1h,47.33,0.139,bykaranteli.com
2026-09-05,APEUSDT,1w,45.35,0.139,bykaranteli.com
2026-09-05,APEUSDT,3d,50.63,0.139,bykaranteli.com
2026-09-05,APEUSDT,4h,50.42,0.139,bykaranteli.com
2026-09-05,API3USDT,12h,57.49,0.2289,bykaranteli.com
2026-09-05,API3USDT,15m,60.27,0.2289,bykaranteli.com
2026-09-05,API3USDT,1M,34.99,0.2289,bykaranteli.com
2026-09-05,API3USDT,1d,59.04,0.2289,bykaranteli.com
2026-09-05,API3USDT,1h,56.06,0.2289,bykaranteli.com
2026-09-05,API3USDT,1w,40.25,0.2289,bykaranteli.com
2026-09-05,API3USDT,3d,50.09,0.2289,bykaranteli.com
2026-09-05,API3USDT,4h,58.43,0.2289,bykaranteli.com
2026-09-05,APPUSDT,12h,54.58,319.75,bykaranteli.com
2026-09-05,APPUSDT,15m,48.41,319.75,bykaranteli.com
2026-09-05,APPUSDT,1d,44.28,319.75,bykaranteli.com
2026-09-05,APPUSDT,1h,56.26,319.75,bykaranteli.com
2026-09-05,APPUSDT,3d,17.63,319.75,bykaranteli.com
2026-09-05,APPUSDT,4h,56.48,319.75,bykaranteli.com
2026-09-05,APRUSDT,12h,50.4,0.2141,bykaranteli.com
2026-09-05,APRUSDT,15m,44.89,0.2141,bykaranteli.com
2026-09-05,APRUSDT,1d,49.11,0.2141,bykaranteli.com
2026-09-05,APRUSDT,1h,41.57,0.2141,bykaranteli.com
2026-09-05,APRUSDT,1w,51.35,0.2141,bykaranteli.com
2026-09-05,APRUSDT,3d,49.85,0.2141,bykaranteli.com
2026-09-05,APRUSDT,4h,49.12,0.2141,bykaranteli.com
2026-09-05,APTUSDT,12h,53.3,0.5803,bykaranteli.com
2026-09-05,APTUSDT,15m,52.8,0.5803,bykaranteli.com
2026-09-05,APTUSDT,1M,35.9,0.5803,bykaranteli.com
2026-09-05,APTUSDT,1d,51.52,0.5803,bykaranteli.com
2026-09-05,APTUSDT,1h,44.54,0.5803,bykaranteli.com
2026-09-05,APTUSDT,1w,36.48,0.5803,bykaranteli.com
2026-09-05,APTUSDT,3d,43.95,0.5803,bykaranteli.com
2026-09-05,APTUSDT,4h,51.7,0.5803,bykaranteli.com
2026-09-05,ARBUSDT,12h,70.86,0.13179,bykaranteli.com
2026-09-05,ARBUSDT,15m,50.1,0.13179,bykaranteli.com
2026-09-05,ARBUSDT,1M,36.77,0.13179,bykaranteli.com
2026-09-05,ARBUSDT,1d,72.34,0.13179,bykaranteli.com
2026-09-05,ARBUSDT,1h,47.31,0.13179,bykaranteli.com
2026-09-05,ARBUSDT,1w,54.58,0.13179,bykaranteli.com
2026-09-05,ARBUSDT,3d,69.84,0.13179,bykaranteli.com
2026-09-05,ARBUSDT,4h,61.86,0.13179,bykaranteli.com
2026-09-05,ARCUSDT,12h,58.94,0.07486,bykaranteli.com
2026-09-05,ARCUSDT,15m,60.61,0.07486,bykaranteli.com
2026-09-05,ARCUSDT,1M,31.85,0.07486,bykaranteli.com
2026-09-05,ARCUSDT,1d,58.07,0.07486,bykaranteli.com
2026-09-05,ARCUSDT,1h,60.91,0.07486,bykaranteli.com
2026-09-05,ARCUSDT,1w,53.65,0.07486,bykaranteli.com
2026-09-05,ARCUSDT,3d,55.63,0.07486,bykaranteli.com
2026-09-05,ARCUSDT,4h,60.85,0.07486,bykaranteli.com
2026-09-05,ARKMUSDT,12h,46.75,0.1061,bykaranteli.com
2026-09-05,ARKMUSDT,15m,58.36,0.1061,bykaranteli.com
2026-09-05,ARKMUSDT,1M,42.86,0.1061,bykaranteli.com
2026-09-05,ARKMUSDT,1d,51,0.1061,bykaranteli.com
2026-09-05,ARKMUSDT,1h,46.05,0.1061,bykaranteli.com
2026-09-05,ARKMUSDT,1w,41.64,0.1061,bykaranteli.com
2026-09-05,ARKMUSDT,3d,48.27,0.1061,bykaranteli.com
2026-09-05,ARKMUSDT,4h,42.17,0.1061,bykaranteli.com
